С396КУ72;Toyota;Отличное;Москва;60;1000;8.0
Х131КУ72;Toyota;Отличное;Москва;65;1000;8.0
Т301ЕН72;Toyota;Отличное;Москва;75;1000;8.0
Р869ЕР72;Toyota;Отличное;Москва;70;1000;8.0
В713ОК72;Toyota;Отличное;Москва;65;1000;8.0
У350СК72;Toyota;Отличное;Москва;65;1000;8.0
М507СС72;Toyota;Отличное;Москва;60;1000;8.0
Х202МР72;Toyota;Отличное;Москва;60;1000;8.0
О548ОЕ72;Toyota;Отличное;Москва;75;1000;8.0
О696ВВ72;Toyota;Отличное;Москва;70;1000;8.0
Т165ХР72;Mercedes;Плохое;Новосибирск;63;2500;9.5
Р280АВ72;Mercedes;Плохое;Новосибирск;63;2500;9.5
О774ТК72;Mercedes;Плохое;Новосибирск;78;2500;9.5
У920АЕ72;Mercedes;Плохое;Новосибирск;68;2500;9.5
Р111ХС72;Mercedes;Плохое;Новосибирск;68;2500;9.5
А765ВА72;Mercedes;Плохое;Новосибирск;73;2500;9.5
А894НК72;Mercedes;Плохое;Новосибирск;68;2500;9.5
Т271РМ72;Mercedes;Плохое;Новосибирск;73;2500;9.5
А733ОР72;Mercedes;Плохое;Новосибирск;78;2500;9.5
О561ХО72;Mercedes;Плохое;Новосибирск;63;2500;9.5
Х561НВ72;Lada;Требует ремонта;Екатеринбург;69;3000;10.0
В780НН72;Lada;Требует ремонта;Екатеринбург;69;3000;10.0
О821АС72;Lada;Требует ремонта;Екатеринбург;64;3000;10.0
О631МС72;Lada;Требует ремонта;Екатеринбург;74;3000;10.0
С635АЕ72;Lada;Требует ремонта;Екатеринбург;79;3000;10.0
А419ОМ72;Lada;Требует ремонта;Екатеринбург;64;3000;10.0
С880УК72;Lada;Требует ремонта;Екатеринбург;64;3000;10.0
М653ЕУ72;Lada;Требует ремонта;Екатеринбург;74;3000;10.0
Р929МВ72;Lada;Требует ремонта;Екатеринбург;79;3000;10.0
С993РТ72;Lada;Требует ремонта;Екатеринбург;69;3000;10.0
Т374УХ72;Honda;Хорошее;Санкт-Петербург;71;1500;8.5
У453СЕ72;Honda;Хорошее;Санкт-Петербург;66;1500;8.5
К831УУ72;Honda;Хорошее;Санкт-Петербург;61;1500;8.5
У971УХ72;Honda;Хорошее;Санкт-Петербург;66;1500;8.5
В525ВО72;Honda;Хорошее;Санкт-Петербург;76;1500;8.5
У928ТН72;Honda;Хорошее;Санкт-Петербург;76;1500;8.5
Н386КК72;Honda;Хорошее;Санкт-Петербург;61;1500;8.5
Н599КЕ72;Honda;Хорошее;Санкт-Петербург;66;1500;8.5
Н961МК72;Honda;Хорошее;Санкт-Петербург;61;1500;8.5
Т864НС72;Honda;Хорошее;Санкт-Петербург;71;1500;8.5
Х164ЕР72;Exeed;Отличное;Тюмень;60;2500;12
С146НВ72;BMW;Среднее;Казань;77;2000;9.0
О829СС72;BMW;Среднее;Казань;62;2000;9.0
Н892РК72;BMW;Среднее;Казань;67;2000;9.0
А278ОН72;BMW;Среднее;Казань;77;2000;9.0
А154ВХ72;BMW;Среднее;Казань;72;2000;9.0
А450КУ72;BMW;Среднее;Казань;62;2000;9.0
Х524ХУ72;BMW;Среднее;Казань;67;2000;9.0
С672АВ72;BMW;Среднее;Казань;62;2000;9.0
А641МН72;BMW;Среднее;Казань;67;2000;9.0
Е270ХЕ72;BMW;Среднее;Казань;72;2000;9.0
